,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T220,Haywood Highsmith,MIA,F,11,25.0,7.8,2.9,0.8,1.4,0.5,1.2,55.9,63.6,0.6,2.6,44.8,3.0,5.4,0.6,1.0,0.0,0.0,1.9,17.4
T223,Luke Kennard,MEM,G,8,21.3,7.5,2.5,3.9,0.5,0.1,1.9,43.2,70.0,1.3,4.1,45.5,2.4,5.5,0.9,1.3,0.0,0.0,1.0,16.9
T223,Sam Hauser,BOS,F,12,21.3,7.5,3.5,1.3,0.5,0.3,1.9,37.9,100.0,0.3,6.1,31.5,2.8,7.3,0.1,0.1,0.0,0.0,0.8,15.7
T223,Mike Conley,MIN,G,13,24.9,7.5,3.2,4.8,1.7,0.2,1.7,31.9,84.2,1.2,5.0,33.8,2.3,7.2,1.2,1.5,0.1,0.0,1.7,23.1
T223,Kyle Filipowski,UTA,C,13,19.1,7.5,4.4,2.2,0.6,0.2,0.7,54.3,48.1,1.1,2.2,31.0,2.9,5.4,1.0,2.1,0.0,0.0,1.5,17.4
T223,Brandin Podziemski,GSW,G,13,24.2,7.5,4.6,3.3,0.9,0.3,0.8,36.8,60.0,1.3,3.7,20.8,3.0,8.2,0.7,1.2,0.0,0.0,2.3,20.3
T228,Jalen Smith,CHI,C,14,14.4,7.4,4.8,0.8,0.4,0.4,1.2,43.4,75.0,0.7,3.3,37.0,2.6,5.9,1.1,1.4,0.0,0.0,1.9,16.2
T228,Marcus Smart,MEM,G,7,20.1,7.4,2.6,3.7,1.0,0.9,0.9,30.0,84.2,2.0,4.0,21.4,2.1,7.1,2.3,2.7,0.0,0.0,2.1,19.7
T228,Quenton Jackson,IND,G,7,14.0,7.4,1.4,1.7,0.9,0.4,0.4,64.7,83.3,0.7,1.4,30.0,3.1,4.9,0.7,0.9,0.0,0.0,1.4,14.9
T231,Andrew Nembhard,IND,G,7,26.6,7.3,2.0,4.7,0.9,0.0,0.4,38.5,80.0,1.4,1.9,23.1,2.9,7.4,1.1,1.4,0.0,0.0,2.1,17.9
T231,Keon Ellis,SAC,G,14,21.6,7.3,2.2,0.8,1.2,0.9,1.4,48.5,84.2,1.0,3.4,42.6,2.4,4.9,1.1,1.4,0.0,0.0,2.1,16.3
233,Noah Clowney,BKN,F,13,16.2,7.1,3.2,0.8,0.3,0.5,1.4,37.3,70.6,0.7,4.0,34.6,2.4,6.4,0.9,1.3,0.0,0.0,2.4,13.9
T234,Trendon Watford,BKN,F,2,16.0,7.0,3.5,2.0,0.5,1.0,0.0,44.4,85.7,0.5,1.0,0.0,2.0,4.5,3.0,3.5,0.0,0.0,1.0,18.2
T234,Jeremiah Robinson-Earl,NOP,C,16,20.9,7.0,4.6,1.1,0.6,0.1,0.9,41.8,84.2,0.9,2.7,32.6,2.6,6.1,1.0,1.2,0.0,0.0,1.3,15.4
T234,Kevin Love,MIA,C,5,12.4,7.0,5.6,1.0,1.6,0.0,1.6,41.9,100.0,0.4,3.6,44.4,2.6,6.2,0.2,0.2,0.0,0.0,0.4,19.6
T234,Zach Collins,SAS,C,15,15.7,7.0,3.7,2.1,0.6,0.5,0.7,50.0,95.7,1.0,1.8,40.7,2.4,4.8,1.5,1.5,0.0,0.0,2.3,17.1
T234,JT Thor,CLE,F,2,7.5,7.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,1.0,1.0,100.0,2.5,2.5,1.0,1.0,0.0,0.0,1.0,13.2
T234,Isaiah Jackson,IND,C,5,16.8,7.0,5.6,1.0,0.6,1.6,0.0,60.9,50.0,1.0,0.0,0.0,2.8,4.6,1.4,2.8,0.0,0.0,2.8,20.8
T234,Yves Missi,NOP,C,16,23.3,7.0,6.9,1.6,0.6,1.1,0.0,53.0,68.6,1.1,0.0,0.0,2.8,5.2,1.5,2.2,0.1,0.0,1.6,21.7
T241,Ryan Dunn,PHO,F,15,18.7,6.9,2.6,0.8,0.5,0.5,1.4,42.3,16.7,0.5,4.2,33.3,2.7,6.5,0.1,0.4,0.0,0.0,2.4,13.7
