Player Aggregates:
CJ McCollum: {'Team': 18, 'Pos': 3, 'minutes': 67.19999999999999, 'points': 38.400000000000006, 'games': 76.0, 'rebounds': 7.8, 'assists': 8.6, 'ft_percentage': 74.85, 'fg_percentage': 44.95, 'three_pt_percentage': 39.85, 'points_per_minute': 0.5719248185596428, 'rebounds_per_minute': 0.11636995223621363}
Gradey Dick: {'Team': 28, 'Pos': 2, 'minutes': 54.400000000000006, 'points': 27.2, 'games': 75.0, 'rebounds': 5.0, 'assists': 3.5, 'ft_percentage': 88.55, 'fg_percentage': 42.3, 'three_pt_percentage': 35.55, 'points_per_minute': 0.48209820413730387, 'rebounds_per_minute': 0.09405546715162538}
Jaden Ivey: {'Team': 8, 'Pos': 3, 'minutes': 61.099999999999994, 'points': 33.9, 'games': 92.0, 'rebounds': 7.9, 'assists': 8.1, 'ft_percentage': 74.2, 'fg_percentage': 43.55, 'three_pt_percentage': 34.8, 'points_per_minute': 0.5537388200894393, 'rebounds_per_minute': 0.12868722050223597}
Alperen Sengun: {'Team': 10, 'Pos': 1, 'minutes': 61.9, 'points': 39.5, 'games': 79.0, 'rebounds': 20.4, 'assists': 9.8, 'ft_percentage': 72.5, 'fg_percentage': 50.900000000000006, 'three_pt_percentage': 30.25, 'points_per_minute': 0.6375405546834119, 'rebounds_per_minute': 0.3318524332810048}
De'Andre Hunter: {'Team': 1, 'Pos': 2, 'minutes': 55.7, 'points': 33.9, 'games': 63.0, 'rebounds': 8.7, 'assists': 3.0, 'ft_percentage': 86.45, 'fg_percentage': 45.25, 'three_pt_percentage': 37.75, 'points_per_minute': 0.6147889147889147, 'rebounds_per_minute': 0.15796425796425795}
Shaedon Sharpe: {'Team': 25, 'Pos': 3, 'minutes': 61.5, 'points': 34.3, 'games': 39.0, 'rebounds': 8.1, 'assists': 4.9, 'ft_percentage': 76.2, 'fg_percentage': 43.35, 'three_pt_percentage': 32.55, 'points_per_minute': 0.5641249308540062, 'rebounds_per_minute': 0.1301061656950768}
Jamal Murray: {'Team': 7, 'Pos': 3, 'minutes': 69.0, 'points': 39.400000000000006, 'games': 81.0, 'rebounds': 8.5, 'assists': 11.9, 'ft_percentage': 85.2, 'fg_percentage': 43.8, 'three_pt_percentage': 36.95, 'points_per_minute': 0.5746960851214395, 'rebounds_per_minute': 0.12329719210453155}
Michael Porter: {'Team': 7, 'Pos': 2, 'minutes': 68.69999999999999, 'points': 34.900000000000006, 'games': 106.0, 'rebounds': 13.9, 'assists': 4.3, 'ft_percentage': 75.15, 'fg_percentage': 48.05, 'three_pt_percentage': 39.15, 'points_per_minute': 0.5083395706460723, 'rebounds_per_minute': 0.2031393529071548}
Cameron Johnson: {'Team': 20, 'Pos': 2, 'minutes': 61.1, 'points': 31.5, 'games': 73.0, 'rebounds': 8.6, 'assists': 5.3, 'ft_percentage': 85.35, 'fg_percentage': 46.25, 'three_pt_percentage': 39.2, 'points_per_minute': 0.5129028769197491, 'rebounds_per_minute': 0.14207765520224963}
Lauri Markkanen: {'Team': 29, 'Pos': 2, 'minutes': 64.4, 'points': 41.2, 'games': 66.0, 'rebounds': 14.7, 'assists': 4.3, 'ft_percentage': 87.2, 'fg_percentage': 46.4, 'three_pt_percentage': 42.25, 'points_per_minute': 0.6379931083076744, 'rebounds_per_minute': 0.2277009353011013}
Austin Reaves: {'Team': 13, 'Pos': 3, 'minutes': 66.9, 'points': 33.8, 'games': 102.0, 'rebounds': 8.0, 'assists': 10.8, 'ft_percentage': 82.69999999999999, 'fg_percentage': 46.75, 'three_pt_percentage': 36.400000000000006, 'points_per_minute': 0.5048194819839977, 'rebounds_per_minute': 0.12008430737286768}
Dennis Schroder: {'Team': 20, 'Pos': 3, 'minutes': 65.4, 'points': 31.8, 'games': 95.0, 'rebounds': 6.0, 'assists': 12.6, 'ft_percentage': 83.8, 'fg_percentage': 44.2, 'three_pt_percentage': 39.45, 'points_per_minute': 0.48455560451098223, 'rebounds_per_minute': 0.09196328967967526}
Bradley Beal: {'Team': 24, 'Pos': 3, 'minutes': 68.30000000000001, 'points': 35.900000000000006, 'games': 66.0, 'rebounds': 8.3, 'assists': 8.7, 'ft_percentage': 81.05, 'fg_percentage': 49.15, 'three_pt_percentage': 40.65, 'points_per_minute': 0.5257714275912935, 'rebounds_per_minute': 0.12160168779266221}
Evan Mobley: {'Team': 5, 'Pos': 2, 'minutes': 61.8, 'points': 33.6, 'games': 78.0, 'rebounds': 18.200000000000003, 'assists': 5.5, 'ft_percentage': 77.7, 'fg_percentage': 56.849999999999994, 'three_pt_percentage': 36.5, 'points_per_minute': 0.5445230237309445, 'rebounds_per_minute': 0.2944208706584944}
Jimmy Butler: {'Team': 15, 'Pos': 2, 'minutes': 65.1, 'points': 38.4, 'games': 70.0, 'rebounds': 10.6, 'assists': 9.9, 'ft_percentage': 82.1, 'fg_percentage': 49.7, 'three_pt_percentage': 31.25, 'points_per_minute': 0.5890029325513195, 'rebounds_per_minute': 0.16319648093841643}
John Collins: {'Team': 29, 'Pos': 2, 'minutes': 55.0, 'points': 32.7, 'games': 82.0, 'rebounds': 16.4, 'assists': 3.7, 'ft_percentage': 88.6, 'fg_percentage': 53.0, 'three_pt_percentage': 36.95, 'points_per_minute': 0.5953325662288881, 'rebounds_per_minute': 0.29808620666851826}
OG Anunoby: {'Team': 19, 'Pos': 2, 'minutes': 70.69999999999999, 'points': 31.8, 'games': 74.0, 'rebounds': 9.9, 'assists': 4.1, 'ft_percentage': 77.65, 'fg_percentage': 49.7, 'three_pt_percentage': 37.95, 'points_per_minute': 0.4491999807803191, 'rebounds_per_minute': 0.13971106412966877}
Jakob Poeltl: {'Team': 28, 'Pos': 1, 'minutes': 59.3, 'points': 28.200000000000003, 'games': 65.0, 'rebounds': 20.5, 'assists': 5.2, 'ft_percentage': 59.849999999999994, 'fg_percentage': 63.199999999999996, 'three_pt_percentage': 0.0, 'points_per_minute': 0.4701056921801603, 'rebounds_per_minute': 0.3437298517085751}
Kyle Kuzma: {'Team': 30, 'Pos': 2, 'minutes': 60.5, 'points': 39.2, 'games': 78.0, 'rebounds': 13.399999999999999, 'assists': 6.300000000000001, 'ft_percentage': 73.75, 'fg_percentage': 43.599999999999994, 'three_pt_percentage': 31.4, 'points_per_minute': 0.6451502957538975, 'rebounds_per_minute': 0.22309079314818478}
Myles Turner: {'Team': 11, 'Pos': 1, 'minutes': 60.5, 'points': 34.0, 'games': 107.0, 'rebounds': 13.9, 'assists': 2.9, 'ft_percentage': 73.55, 'fg_percentage': 49.900000000000006, 'three_pt_percentage': 39.8, 'points_per_minute': 0.5651098901098901, 'rebounds_per_minute': 0.23090659340659342}
Jerami Grant: {'Team': 25, 'Pos': 2, 'minutes': 67.3, 'points': 37.7, 'games': 69.0, 'rebounds': 7.0, 'assists': 4.9, 'ft_percentage': 81.5, 'fg_percentage': 41.6, 'three_pt_percentage': 37.45, 'points_per_minute': 0.5597345132743363, 'rebounds_per_minute': 0.10401762845989437}
Brandon Miller: {'Team': 3, 'Pos': 2, 'minutes': 63.300000000000004, 'points': 34.0, 'games': 84.0, 'rebounds': 8.399999999999999, 'assists': 6.199999999999999, 'ft_percentage': 88.7, 'fg_percentage': 41.3, 'three_pt_percentage': 35.15, 'points_per_minute': 0.5371222863533782, 'rebounds_per_minute': 0.1326865850492301}
Desmond Bane: {'Team': 14, 'Pos': 3, 'minutes': 62.4, 'points': 40.3, 'games': 51.0, 'rebounds': 11.0, 'assists': 9.3, 'ft_percentage': 84.0, 'fg_percentage': 45.599999999999994, 'three_pt_percentage': 36.0, 'points_per_minute': 0.6409053156146179, 'rebounds_per_minute': 0.18181063122923588}
Buddy Hield: {'Team': 9, 'Pos': 3, 'minutes': 49.6, 'points': 28.2, 'games': 103.0, 'rebounds': 6.800000000000001, 'assists': 4.4, 'ft_percentage': 87.1, 'fg_percentage': 45.9, 'three_pt_percentage': 41.85, 'points_per_minute': 0.5693658536585365, 'rebounds_per_minute': 0.13720325203252032}
Chet Holmgren: {'Team': 21, 'Pos': 1, 'minutes': 56.5, 'points': 32.8, 'games': 102.0, 'rebounds': 16.5, 'assists': 4.4, 'ft_percentage': 78.25, 'fg_percentage': 51.55, 'three_pt_percentage': 36.7, 'points_per_minute': 0.5827672955974843, 'rebounds_per_minute': 0.2941509433962264}
Jordan Hawkins: {'Team': 18, 'Pos': 3, 'minutes': 47.099999999999994, 'points': 23.8, 'games': 78.0, 'rebounds': 6.6, 'assists': 2.4, 'ft_percentage': 88.44999999999999, 'fg_percentage': 39.3, 'three_pt_percentage': 36.35, 'points_per_minute': 0.4926430034667507, 'rebounds_per_minute': 0.13688740939174285}
Devin Vassell: {'Team': 27, 'Pos': 2, 'minutes': 55.5, 'points': 35.8, 'games': 72.0, 'rebounds': 5.1, 'assists': 7.6, 'ft_percentage': 90.05, 'fg_percentage': 46.05, 'three_pt_percentage': 37.1, 'points_per_minute': 0.6576767676767676, 'rebounds_per_minute': 0.08646464646464647}
Anfernee Simons: {'Team': 25, 'Pos': 3, 'minutes': 64.2, 'points': 38.900000000000006, 'games': 58.0, 'rebounds': 5.6, 'assists': 9.8, 'ft_percentage': 91.65, 'fg_percentage': 40.6, 'three_pt_percentage': 34.2, 'points_per_minute': 0.6019783049789293, 'rebounds_per_minute': 0.08588262837521461}
Bam Adebayo: {'Team': 15, 'Pos': 1, 'minutes': 69.7, 'points': 35.6, 'games': 91.0, 'rebounds': 19.8, 'assists': 7.8, 'ft_percentage': 72.9, 'fg_percentage': 47.3, 'three_pt_percentage': 31.700000000000003, 'points_per_minute': 0.5117412074787908, 'rebounds_per_minute': 0.28438761222304587}
Mikal Bridges: {'Team': 19, 'Pos': 2, 'minutes': 73.5, 'points': 35.900000000000006, 'games': 97.0, 'rebounds': 8.4, 'assists': 7.2, 'ft_percentage': 72.5, 'fg_percentage': 46.2, 'three_pt_percentage': 34.400000000000006, 'points_per_minute': 0.4922035106477769, 'rebounds_per_minute': 0.1150427693130179}
